CO_NCM;NO_NCM_ING
87083090;Other brakes and its parts,f/tractors/vehicles/automob.
87083110;Brakes and servo-brakes for dumpers and tractors
87083190;Brakes and servo-brakes f/other motor vehicles
87083900;Other brakes and its parts,f/tractors/motor vehicles
87084010;Gear boxes f/dumpers/tractors except road
87084011;Power-assisted f/torques>=750nm of tractors/dumpers
87084019;Other gear boxes for tractors or dumpers
87084080;Other gearboxes
87084090;Parts of gearboxes
87085010;Drive-axles with differential f/dumpers/tractors
87085011;Drive-axles with differential f/dumpers,load>=14t
87085012;Axles and parts except. drive/trac./dumpers
87085019;Drive-axles with differential f/dumpers/tractors
87085080;Drive-axles with differential f/motor vehicles
90183922;Arterial embolectomy catheters of poly(vinyl chloride)
90183923;Thermodilution catheters of poly(vinyl chloride)
90183924;Peripheral intravenous catheters  of poliuretano
90183929;Other probes, catheters and stems
29398090;Other alkaloids, natural or produced by synthesis, and their salts, esters and other derivatives
48119019;Oth.paper of cellulose covered.etc.strips/rolls w<=15cm
39172210;Rigid tube, made of propylene polymers, with a round internal cross-section of less than 6 mm in diameter and a hexagonal external cross-section
85441911;Copper-clad aluminum wires (CCA) for winding, insulated for electrical uses (including those varnished or anodically oxidized)
38249961;Contrasts for diagnostic examinations using magnetic resonance imaging or ultrasound, based on gadobenate dimeglumine, gadobutrol, gadopentetate dimeglumine, gadoterate meglumine, gadoteridol or gadoxetate disodium.
32071020;Suspension of pigments in organic solvents, of the type used in inkjet printers for decorating ceramic surfaces by firing
39069059;Other acrylic polymers, in irreg.blocks, pieces, etc
73151110;"Roller chains of the type used on bicycles, with a 12.7 mm (1/2"") pitch and an internal width of 1.98 mm (5/64"") or more but less than or equal to 3.17 mm (1/8"")"
73151190;Other roller chains
32071030;Other pigments, opacifiers/colours, preparations and preparations based on zirconium or its salts
39069051;Poly(acrylic acid) and salts, in blocks, irreg.pieces, etc
39069053;Carboxypolymethylene, in powder
39069054;Sodium polyacrylate, in irreg.blocks, pieces, etc
39069069;Other copolymers
3052010;Roe of mullet (Mugil spp.) fish, dried, smoked, etc.
88069100;Other unmanned aerial vehicles (aircraft), of a maximum take-off weight not exceeding 250 g
44188200;Cross-laminated timber (CLT or X-lam)
39069064;Copolymer of potassium acrylate and acrylic acid, with a distilled water absorption capacity of up to four hundred times its own weight
38273900;Other mixtures containing hydrochlorofluorocarbons (HCFC), even if they contain perfluorocarbons (PFC) or hydrofluorocarbons (HFC), but not containing chlorofluorocarbons (CFC), not classified under previous codes
76129020;Containers (capsules) for packaging coffee and similar products, of the type used in beverage preparation machines
39072992;Poly(oxyethylene) methallyl ether (HPEG)
74061020;Copper powders, of non-lamellar structure, with a tin content, by weight, of not less than 7.0% but not more than 9.0% and a nickel content of not less than 0.7% but not more than 1.3%, without other elements
88061000;Unmanned aerial vehicles (aircraft), designed for the transport of passengers
19012090;Other mixtures and pastes for the preparation of bakery, pastry and biscuit products, of heading 19.05
19012020;Dough for preparing bread, with the addition of whole grains or seeds, frozen
7129020;Garlic
29333500;Quinuclidin-3-ol
28439040;Ruthenium trichloride, powder
74061010;Copper powder, non-lamellar in structure, with a lead content by weight of 9.5% or more but less than or equal to 25.0% and a tin content of 1.75% or more but less than or equal to 11.0%, without other elements.
73063010;Other welded pipes, of circular cross-section, of iron or non-alloy steel, with an outside diameter of 22.25 mm, a thickness of 2.64 mm and a length of 448.2 mm.
81093900;Other waste and scrap of zirconium, not classified under previous codes
59112090;Gauzes and screens to drizzle, of oth.textile materials
59113100;Fabric and felt used in mach.f/prod.of paper w<650g/m2
59113200;Fabric and felt used in mach.f/prod.of paper w>=650g/m2
59114000;Fabrics of filter/thick, used in oil presses, etc.
51121100;Combed fabr.of wool/fine anim.hair(con>=85%), w<=200g/m2
51121910;Other fabrics of combed wool (cont>=85%)
48236000;Trays, dishes, plates, cups, etc.of paper/paperboard
48236100;Trays, dishes, plates, cups, etc.of bamboo
48236900;Other trays, dishes, plates, cups, etc.of paper/kraft
48237000;Moulded or pressed articles of paper pulp
48239010;Perforated cards for jacquard machines
48239020;Paper/paperb., of a dieletric strength>=600v, w<=60g/m2
48239090;Other paper, paperboard/pulp/etc.cut and their works
48239091;Oth.paper, etc.of cellulose, rolls 15<w<=36cm
48239099;Oth.paper, paperb.of cellulose and oth.articles of paper
59112010;Gauzes and screens to drizzle, synt/artif.text.mat.piec
87112090;Oth.cycles with recip.int.comb.pist.eng.50<cyl<=250cm3
87113000;Motorcyc.etc.with recip.int.comb.pist.eng.250<c<=500cm3
87114000;Motorcyc.etc.with recip.int.comb.pist.eng.500<c<=800cm3
87115000;Motorcycles,etc.with recip.int.comb.pist.eng.cyl>800cm3
87119000;Oth.motorcyc./cycles with auxil.motor of lateral cars
87120010;Bikes without engine
87120090;Other cycles without engine, including tricycles
87131000;Carriages for disabled,etc.n/mechanically propelled
