CO_PAIS;NO_PAIS;NO_PAIS_ING
0;Não Definido;Not defined
13;Afeganistão;Afghanistan
15;Aland, Ilhas;Aland Islands
17;Albânia;Albania
20;Alboran-Perejil, Ilhas;Alboran-Perejil, Islands
23;Alemanha;Germany
25;Alemanha Oriental;East Germany
31;Burkina Faso;Burkina Faso
37;Andorra;Andorra
40;Angola;Angola
41;Anguilla;Anguilla
42;Antártica;Antarctica
43;Antígua e Barbuda;Antigua and Barbuda
47;Antilhas Holandesas;Netherlands Antilles
53;Arábia Saudita;Saudi Arabia
59;Argélia;Algeria
63;Argentina;Argentina
64;Armênia;Armenia
65;Aruba;Aruba
69;Austrália;Australia
72;Áustria;Austria
73;Azerbaijão;Azerbaijan
77;Bahamas;Bahamas
80;Barein;Bahrein
81;Bangladesh;Bangladesh
83;Barbados;Barbados
85;Belarus;Belarus
87;Bélgica;Belgium
88;Belize;Belize
90;Bermudas;Bermuda
93;Mianmar;Myanmar
97;Bolívia;Bolivia
98;Bósnia-Herzegovina;Bosnia and Herzegovina
99;Bonaire, Saint Eustatius e Saba;Bonaire, Saint Eustatius and Saba
100;Internação na Zona Franca de Manaus;Internment in the Manaus Free Trade Zone
101;Botsuana;Botswana
102;Bouvet, Ilha;Bouvet Island
105;Brasil;Brazil
108;Brunei;Brunei
111;Bulgária;Bulgaria
115;Burundi;Burundi
119;Butão;Bhutan
127;Cabo Verde;Cape Verde
137;Cayman, Ilhas;Cayman Islands
141;Camboja;Cambodia
145;Camarões;Cameroon
149;Canadá;Canada
150;Canal, Ilhas do (Guernsey);Guernsey
151;Canárias, Ilhas;Canary, Islands
152;Canal, Ilhas do (Jersey);Jersey
153;Cazaquistão;Kazakhstan
154;Catar;Qatar
158;Chile;Chile
160;China;China
161;Taiwan (Formosa);Taiwan
163;Chipre;Cyprus
165;Cocos (Keeling), Ilhas;Cocos (Keeling) Islands
169;Colômbia;Colombia
173;Comores;Comoros
177;Congo;Congo
183;Cook, Ilhas;Cook Islands
187;Coreia do Norte;North Korea
190;Coreia do Sul;South Korea
193;Costa do Marfim;Cote D'Ivore
195;Croácia;Croatia
196;Costa Rica;Costa Rica
198;Coveite (Kuweit);Kuwait
199;Cuba;Cuba
200;Curaçao;Curaçao
229;Benin;Benin
232;Dinamarca;Denmark
235;Dominica;Dominica Island
237;Dubai;Dubai
239;Equador;Ecuador
240;Egito;Egypt
243;Eritreia;Eritrea
244;Emirados Árabes Unidos;United Arab Emirates
245;Espanha;Spain
246;Eslovênia;Slovenia
247;Eslováquia;Slovakia
249;Estados Unidos;United States
251;Estônia;Estonia
253;Etiópia;Ethiopia
255;Falkland (Malvinas);Falkland Islands (Malvinas)
259;Faroe, Ilhas;Faroe Islands
267;Filipinas;Philippines
271;Finlândia;Finland
275;França;France
281;Gabão;Gabon
285;Gâmbia;Gambia
289;Gana;Ghana
291;Geórgia;Georgia
292;Geórgia do Sul e Sandwich do Sul, Ilhas;South Georgia and the South Sandwich Islands
293;Gibraltar;Gibraltar
297;Granada;Grenada
301;Grécia;Greece
305;Groenlândia;Greenland
309;Guadalupe;Guadeloupe
313;Guam;Guam
317;Guatemala;Guatemala
321;Guernsey;Guernsey
325;Guiana Francesa;French Guyana
329;Guiné;Guinea
331;Guiné Equatorial;Equatorial Guinea
334;Guiné-Bissau;Guinea-Bissau
337;Guiana;Guyana
341;Haiti;Haiti
343;Heard e ilhas mcdonald, Ilha;Heard Island and McDonald Islands
345;Honduras;Honduras
351;Hong Kong;Hong Kong
355;Hungria;Hungary
357;Iêmen;Yemen
358;Iêmen Democrático;Democratic Yemen
359;Ilha de Man;Isle of Man
361;Índia;India
365;Indonésia;Indonesia
367;Inglaterra;England
369;Iraque;Iraq
372;Irã;Iran
375;Irlanda;Ireland
379;Islândia;Iceland
383;Israel;Israel
386;Itália;Italy
388;Iugoslávia;Yugoslavia
391;Jamaica;Jamaica
393;Jersey;Jersey
396;Johnston, Ilhas;Johnston (Island)
399;Japão;Japan
403;Jordânia;Jordan
