"CO_URF";"NO_URF"
"0510353";"0510353 - IRF ILHEUS"
"0710251";"0710251 - IRF CAMPOS DOS GOYTACAZES"
"1010351";"1010351 - IRF SANTANA DO LIVRAMENTO"
"1017504";"1017504 - IRF PORTO MAUA"
"1017505";"1017505 - IRF PORTO XAVIER"
"0510352";"0510352 - IRF PORTO SEGURO"
"0317903";"0317903 - IRF SAO LUIS"
"0812003";"0812003 - DRF TAUBATE"
"0000910";"0000910 - SEFAZ-SC - CONVENIO CONSULTA SISTEMA CARGA"
"0110100";"0110100 - BRASILIA"
"0117600";"0117600 - AEROPORTO INTERNACIONAL DE BRASILIA"
"0120100";"0120100 - GOIANIA"
"0120102";"0120102 - CATALAO"
"0120200";"0120200 - ANAPOLIS"
"0130100";"0130100 - CUIABA"
"0130151";"0130151 - CACERES"
"0140100";"0140100 - CAMPO GRANDE"
"0147600";"0147600 - ALF - CORUMB¡"
"0147700";"0147700 - ALF - MUNDO NOVO"
"0147800";"0147800 - ALF - PONTA POR√"
"0147852";"0147852 - ARF - PORTO MURTINHO"
"0210100";"0210100 - BELEM"
"0210200";"0210200 - SANTAREM"
"0210252";"0210252 - ALMEIRIM"
"0210300";"0210300 - MARABA"
"0217800";"0217800 - ALF - BEL…M"
"0217801";"0217801 - IRF - AEROPORTO INTERNACIONAL DE BEL…M"
"0217802";"0217802 - IRF - BARCARENA"
"0220100";"0220100 - DRF MANAUS"
"0227600";"0227600 - PORTO DE MANAUS"
"0227603";"0227603 - TABATINGA"
"0227700";"0227700 - AEROPORTO EDUARDO GOMES"
"0230100";"0230100 - RIO BRANCO"
"0230152";"0230152 - CRUZEIRO DO SUL"
"0230154";"0230154 - Assis Brasil"
"0230155";"0230155 - IRF - EPITACIOL‚NDIA"
"0240100";"0240100 - MACAPA"
"0240151";"0240151 - OIAPOQUE"
"0240152";"0240152 - SANTANA"
"0250100";"0250100 - PORTO VELHO"
"0250151";"0250151 - GUAJARA-MIRIM"
"0250152";"0250152 - VILHENA"
"0260100";"0260100 - BOA VISTA"
"0260151";"0260151 - PACARAIMA"
"0260152";"0260152 - BONFIM"
"0310100";"0310100 - FORTALEZA"
"0317900";"0317900 - ALF - FORTALEZA"
"0317901";"0317901 - IRF - AEROPORTO INTERNACIONAL PINTO MARTINS"
"0317902";"0317902 - IRF - PORTO DE PEC…M"
